Kecamatan,Tahun,Jenis_Kontrasepsi,Jumlah_Peserta,
Sumbermanjing Wetan,2023,MOW,515,
Dampit,2023,MOW,509,
Ampelgading,2023,MOW,262,
Poncokusumo,2023,MOW,527,
Wajak,2023,MOW,515,
Turen,2023,MOW,704,
Gondanglegi,2023,MOW,406,
Kalipare,2023,MOW,217,
Sumberpucung,2023,MOW,385,
Kepanjen,2023,MOW,652,
Bululawang,2023,MOW,414,
Tajinan,2023,MOW,329,
Tumpang,2023,MOW,424,
Jabung,2023,MOW,379,
Pakis,2023,MOW,1.013,
Pakisaji,2023,MOW,609,
Ngajum,2023,MOW,364,
Wagir,2023,MOW,487,
Dau,2023,MOW,506,
Karangploso,2023,MOW,608,
Singosari,2023,MOW,1.025,
Lawang,2023,MOW,650,
